Lesson	Type	No	Name	Sentences_Kor	Sentences_Phon	Sentences_Viet	FileAudio	FileImage
Lesson1	Subject	0	Subj	안녕하세요? (Xin chào?)				
Lesson1	Vocabulary	1	Struc	Quốc gia (국가) & Quốc tịch (국적)				
Lesson1	Vocabulary	1.1	Exam	한국	Han-guk	Hàn Quốc	https://luandai123.github.io/Korean_Beginner/L1Vo1.1.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.1.png
Lesson1	Vocabulary	1.1.ex	Exam	저는 한국 사람이에요.	Chơ-nưn han-guk sa-ra-mi-ê-yô.	Tôi là người Hàn Quốc.	https://luandai123.github.io/Korean_Beginner/L1Vo1.1.ex.mp3	
Lesson1	Vocabulary	1.1.tip	Def			[MẸO] "한(韓)" = Hàn + "국(國)" = quốc → Hàn Quốc. Hán-Việt giống hệt tiếng Việt!		
Lesson1	Vocabulary	1.2	Exam	미국	Mi-guk	Mỹ	https://luandai123.github.io/Korean_Beginner/L1Vo1.2.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.2.png
Lesson1	Vocabulary	1.2.ex	Exam	스티븐은 미국 사람이에요.	Sư-thi-bưn-ưn mi-guk sa-ra-mi-ê-yô.	Steven là người Mỹ.	https://luandai123.github.io/Korean_Beginner/L1Vo1.2.ex.mp3	
Lesson1	Vocabulary	1.2.tip	Def			[MẸO] "미(美)" = Mỹ + "국(國)" = quốc → Mỹ Quốc. Hán-Việt là nhớ ngay!		
Lesson1	Vocabulary	1.3	Exam	중국	Chung-guk	Trung Quốc	https://luandai123.github.io/Korean_Beginner/L1Vo1.3.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.3.png
Lesson1	Vocabulary	1.3.ex	Exam	나나는 중국 사람이에요.	Na-na-nưn chung-guk sa-ra-mi-ê-yô.	Nana là người Trung Quốc.	https://luandai123.github.io/Korean_Beginner/L1Vo1.3.ex.mp3	
Lesson1	Vocabulary	1.3.tip	Def			[MẸO] "중(中)" = Trung + "국(國)" = Quốc → Trung Quốc. Y hệt tiếng Việt!		
Lesson1	Vocabulary	1.4	Exam	일본	Il-bon	Nhật Bản	https://luandai123.github.io/Korean_Beginner/L1Vo1.4.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.4.png
Lesson1	Vocabulary	1.4.ex	Exam	아키라는 일본 사람이에요.	A-khi-ra-nưn il-bon sa-ra-mi-ê-yô.	Akira là người Nhật.	https://luandai123.github.io/Korean_Beginner/L1Vo1.4.ex.mp3	
Lesson1	Vocabulary	1.4.tip	Def			[MẸO] "일(日)" = Nhật + "본(本)" = Bản → Nhật Bản. Hán-Việt giống nhau!		
Lesson1	Vocabulary	1.5	Exam	독일	Đok-il	Đức	https://luandai123.github.io/Korean_Beginner/L1Vo1.5.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.5.png
Lesson1	Vocabulary	1.5.ex	Exam	마리아는 독일 사람이에요.	Ma-ri-a-nưn đok-il sa-ra-mi-ê-yô.	Maria là người Đức.	https://luandai123.github.io/Korean_Beginner/L1Vo1.5.ex.mp3	
