Topic	Type	No	Sentences_Kor	Sentences_Phon	Sentences_Viet	FileAudio
T1	Must	1	안녕하세요? 저는 루안이에요.	an-nyong-ha-sê-yô? cho-nưn ru-a-ni-ê-yô.	Xin chào! Tôi là Luan.	https://luandai123.github.io/Korean_Beginner/T1Must1.mp3
T1	Must	2	저는 베트남 사람이에요.	cho-nưn pê-thư-nam sa-ra-mi-ê-yô.	Tôi là người Việt Nam.	https://luandai123.github.io/Korean_Beginner/T1Must2.mp3
T1	Must	3	저는 기계 엔지니어예요.	cho-nưn gi-gyê ên-chi-ni-o-yê-yô.	Tôi là kỹ sư cơ khí.	https://luandai123.github.io/Korean_Beginner/T1Must3.mp3
T1	Must	4	만나서 반가워요.	man-na-so pan-ga-uo-yô.	Rất vui được gặp bạn.	https://luandai123.github.io/Korean_Beginner/T1Must4.mp3
T1	Must	5	직업은 엔지니어입니다.	chi-go-pưn ên-chi-ni-o-im-ni-ta.	Nghề nghiệp của tôi là kỹ sư.	https://luandai123.github.io/Korean_Beginner/T1Must5.mp3
T1	Must	6	안녕히 가세요.	an-nyong-hi ga-sê-yô.	Tạm biệt. (người ra đi nói)	https://luandai123.github.io/Korean_Beginner/T1Must6.mp3
T1	Story	1	루안이는 베트남 사람이에요. 기계 엔지니어예요. 오늘 한국 친구를 만났어요. 안녕하세요? 저는 루안이에요. 만나서 반가워요! 친구도 반가워했어요.	ru-a-ni-nưn pê-thư-nam sa-ra-mi-ê-yô. gi-gyê ên-chi-ni-o-yê-yô. ô-nưl han-guk trin-gu-rưl man-na-sso-yô. an-nyong-ha-sê-yô? cho-nưn ru-a-ni-ê-yô. man-na-so pan-ga-uo-yô! trin-gu-tô pan-ga-uo-hê-sso-yô.	Luan là người Việt Nam. Là kỹ sư cơ khí. Hôm nay gặp bạn Hàn Quốc. Xin chào! Tôi là Luan. Rất vui được gặp! Bạn cũng vui mừng.	https://luandai123.github.io/Korean_Beginner/T1Story1.mp3
T1	Dlg	1.1	안녕하세요? 저는 루안이에요.	an-nyong-ha-sê-yô? cho-nưn ru-a-ni-ê-yô.	Xin chào! Tôi là Luan.	https://luandai123.github.io/Korean_Beginner/T1Dlg1.1.mp3
T1	Dlg	1.2	저는 지민이에요. 만나서 반가워요.	cho-nưn chi-mi-ni-ê-yô. man-na-so pan-ga-uo-yô.	Tôi là Jimin. Rất vui được gặp.	https://luandai123.github.io/Korean_Beginner/T1Dlg1.2.mp3
T1	Dlg	1.3	지민 씨는 직업이 뭐예요?	chi-min sxi-nưn chi-go-pi muo-yê-yô?	Nghề nghiệp của anh Jimin là gì?	https://luandai123.github.io/Korean_Beginner/T1Dlg1.3.mp3
T1	Dlg	1.4	저는 회사원이에요. 루안 씨는요?	cho-nưn huê-sa-uo-ni-ê-yô. ru-an sxi-nư-nyô?	Tôi là nhân viên công ty. Còn anh Luan?	https://luandai123.github.io/Korean_Beginner/T1Dlg1.4.mp3
T1	Dlg	1.5	저는 기계 엔지니어예요.	cho-nưn gi-gyê ên-chi-ni-o-yê-yô.	Tôi là kỹ sư cơ khí.	https://luandai123.github.io/Korean_Beginner/T1Dlg1.5.mp3
T2	Must	1	저는 베트남 사람이에요.	cho-nưn pê-thư-nam sa-ra-mi-ê-yô.	Tôi là người Việt Nam.	https://luandai123.github.io/Korean_Beginner/T2Must1.mp3
T2	Must	2	베트남에서 왔어요.	pê-thư-na-mê-so oa-sso-yô.	Tôi đến từ Việt Nam.	https://luandai123.github.io/Korean_Beginner/T2Must2.mp3
T2	Must	3	고향은 타이응우옌이에요.	gô-hya-ưn tha-i-ư-u-yê-ni-ê-yô.	Quê tôi là Thái Nguyên.	https://luandai123.github.io/Korean_Beginner/T2Must3.mp3
T2	Must	4	지금은 호찌민시에 살아요.	chi-gư-mưn hô-tchi-min-xi-ê sa-ra-yô.	Bây giờ tôi sống ở TP. HCM.	https://luandai123.github.io/Korean_Beginner/T2Must4.mp3
T2	Must	5	어느 나라 사람이에요? — 베트남 사람이에요.	o-nư na-ra sa-ra-mi-ê-yô?  pê-thư-nam sa-ra-mi-ê-yô.	Người nước nào? — Người Việt Nam.	https://luandai123.github.io/Korean_Beginner/T2Must5.mp3
T2	Story	1	저는 베트남 사람이에요. 고향은 타이응우옌이에요. 타이응우옌은 베트남 북쪽에 있어요. 지금은 호찌민시에서 일해요. 언젠가 한국에도 가고 싶어요!	cho-nưn pê-thư-nam sa-ra-mi-ê-yô. gô-hya-ưn tha-i-ư-u-yê-ni-ê-yô. tha-i-ư-u-yê-nưn pê-thư-nam puk-tchô-gê i-sso-yô. chi-gư-mưn hô-tchi-min-xi-ê-so il-hê-yô. on-chên-ga han-gu-gê-tô ga-gô xi-pho-yô!	Tôi là người Việt Nam. Quê tôi là Thái Nguyên. Thái Nguyên ở miền Bắc Việt Nam. Bây giờ tôi làm việc ở TP. HCM. Một ngày nào đó tôi muốn đến Hàn Quốc!	https://luandai123.github.io/Korean_Beginner/T2Story1.mp3
T2	Dlg	1.1	루안 씨는 어느 나라 사람이에요?	ru-an sxi-nưn o-nư na-ra sa-ra-mi-ê-yô?	Anh Luan người nước nào?	https://luandai123.github.io/Korean_Beginner/T2Dlg1.1.mp3
T2	Dlg	1.2	저는 베트남 사람이에요. 베트남에서 왔어요.	cho-nưn pê-thư-nam sa-ra-mi-ê-yô. pê-thư-na-mê-so oa-sso-yô.	Tôi là người Việt Nam. Tôi đến từ Việt Nam.	https://luandai123.github.io/Korean_Beginner/T2Dlg1.2.mp3
T2	Dlg	1.3	고향이 어디예요?	gô-hya-i o-ti-yê-yô?	Quê bạn ở đâu?	https://luandai123.github.io/Korean_Beginner/T2Dlg1.3.mp3
T2	Dlg	1.4	고향은 타이응우옌이에요. 지금은 호찌민시에 살아요.	gô-hya-ưn tha-i-ư-u-yê-ni-ê-yô. chi-gư-mưn hô-tchi-min-xi-ê sa-ra-yô.	Quê tôi ở Thái Nguyên. Bây giờ sống ở TP. HCM.	https://luandai123.github.io/Korean_Beginner/T2Dlg1.4.mp3
T3	Must	1	가족이 몇 명이에요? — 네 명이에요.	ga-chô-gi myon myo-i-ê-yô?  nê myo-i-ê-yô.	Gia đình có mấy người? — 4 người.	https://luandai123.github.io/Korean_Beginner/T3Must1.mp3
T3	Must	2	부모님이 계시고 남동생이 한 명 있어요.	pu-mô-ni-mi gyê-xi-gô nam-tông-sê-i han myong i-sso-yô.	Có bố mẹ và một em trai.	https://luandai123.github.io/Korean_Beginner/T3Must2.mp3
T3	Must	3	아버지는 회사원이세요.	a-po-chi-nưn huê-sa-uo-ni-sê-yô.	Bố là nhân viên công ty.	https://luandai123.github.io/Korean_Beginner/T3Must3.mp3
T3	Must	4	가족은 타이응우옌에 살아요.	ga-chô-gưn tha-i-ư-u-yê-nê sa-ra-yô.	Gia đình sống ở Thái Nguyên.	https://luandai123.github.io/Korean_Beginner/T3Must4.mp3
T3	Must	5	저는 호찌민시에서 혼자 살아요.	cho-nưn hô-tchi-min-xi-ê-so hôn-cha sa-ra-yô.	Tôi sống một mình ở TP. HCM.	https://luandai123.github.io/Korean_Beginner/T3Must5.mp3
T3	Must	6	아버지는 무슨 일을 하세요? — 회사에 다니세요.	a-po-chi-nưn mu-sưn i-rưl ha-sê-yô?  huê-sa-ê ta-ni-sê-yô.	Bố làm nghề gì? — Bố làm ở công ty.	https://luandai123.github.io/Korean_Beginner/T3Must6.mp3
T3	Story	1	저는 가족이 네 명이에요. 부모님이 계시고 남동생이 한 명 있어요. 아버지는 회사원이시고 어머니는 주부세요. 가족은 타이응우옌에 살아요. 저는 호찌민시에서 혼자 살아요. 가족이 보고 싶어요!	cho-nưn ga-chô-gi nê myo-i-ê-yô. pu-mô-ni-mi gyê-xi-gô nam-tông-sê-i han myong i-sso-yô. a-po-chi-nưn huê-sa-uo-ni-xi-gô o-mo-ni-nưn chu-pu-sê-yô. ga-chô-gưn tha-i-ư-u-yê-nê sa-ra-yô. cho-nưn hô-tchi-min-xi-ê-so hôn-cha sa-ra-yô. ga-chô-gi pô-gô xi-pho-yô!	Gia đình tôi có 4 người. Có bố mẹ và một em trai. Bố là nhân viên công ty và mẹ là nội trợ. Gia đình sống ở Thái Nguyên. Tôi sống một mình ở TP. HCM. Tôi nhớ gia đình!	https://luandai123.github.io/Korean_Beginner/T3Story1.mp3
T3	Dlg	1.1	가족이 몇 명이에요?	ga-chô-gi myon myo-i-ê-yô?	Gia đình có mấy người?	https://luandai123.github.io/Korean_Beginner/T3Dlg1.1.mp3
