Lesson	Type	No	Name	Sentences_Kor	Sentences_Phon	Sentences_Viet	FileAudio	FileImage
Lesson1	Subject	0	Subj	안녕하세요? (Xin chào)				
Lesson2	Subject	0	Subj	이거는 뭐예요? (Cái này là gì?)				
Lesson3	Subject	0	Subj	이것은 누구의 가방입니까? (Đây là túi của ai?)				
Lesson4	Subject	0	Subj	어디에 있어요? (Ở đâu?)				
Lesson5	Subject	0	Subj	얼마예요? (Bao nhiêu tiền?)				
Lesson6	Subject	0	Subj	몇 시예요? (Mấy giờ rồi?)				
Lesson7	Subject	0	Subj	무엇을 합니까? (Làm gì?)				
Lesson8	Subject	0	Subj	어디에 갑니까? (Đi đâu?)				
Lesson9	Subject	0	Subj	이분은 누구세요? (Người này là ai?)				
Lesson10	Subject	0	Subj	지금 몇 시예요? (Bây giờ là mấy giờ?)				
Lesson11	Subject	0	Subj	감기에 걸렸어요. (Tôi bị cảm lạnh.)				
Lesson12	Subject	0	Subj	여보세요. (Alo)				
Lesson13	Subject	0	Subj	서울역으로 가 주세요. (Làm ơn đưa tôi đến ga Seoul.)				
Lesson14	Subject	0	Subj	이 옷을 입어 보세요. (Hãy thử mặc bộ quần áo này.)				
Lesson15	Subject	0	Subj	여행을 가고 싶어요. (Tôi muốn đi du lịch.)				
Lesson16	Subject	0	Subj	우리 집에 올 수 있어요? (Bạn có thể đến nhà tôi không?)				
Lesson1	Vocabulary	1	Struc	Quốc gia (국가) & Quốc tịch (국적)				
Lesson1	Vocabulary	1.1	Exam	독일	Đô-gil	 Đức	https://luandai123.github.io/Korean_Beginner/L1Vo1.1.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.1.png
Lesson1	Vocabulary	1.2	Exam	독일 사람	Đô-gil sa-ram	 Người Đức	https://luandai123.github.io/Korean_Beginner/L1Vo1.2.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.2.png
Lesson1	Vocabulary	1.3	Exam	미국	Mi-guk	 Mỹ	https://luandai123.github.io/Korean_Beginner/L1Vo1.3.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.3.png
Lesson1	Vocabulary	1.4	Exam	미국 사람	Mi-guk sa-ram	 Người Mỹ	https://luandai123.github.io/Korean_Beginner/L1Vo1.4.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.4.png
Lesson1	Vocabulary	1.5	Exam	영국	Yông-guk	 Anh Quốc	https://luandai123.github.io/Korean_Beginner/L1Vo1.5.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.5.png
Lesson1	Vocabulary	1.6	Exam	영국 사람	Yông-guk sa-ram	 Người Anh	https://luandai123.github.io/Korean_Beginner/L1Vo1.6.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.6.png
Lesson1	Vocabulary	1.7	Exam	일본	Il-bon	 Nhật Bản	https://luandai123.github.io/Korean_Beginner/L1Vo1.7.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.7.png
Lesson1	Vocabulary	1.8	Exam	일본 사람	Il-bon sa-ram	 Người Nhật Bản	https://luandai123.github.io/Korean_Beginner/L1Vo1.8.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.8.png
Lesson1	Vocabulary	1.9	Exam	중국	Chung-guk	 Trung Quốc	https://luandai123.github.io/Korean_Beginner/L1Vo1.9.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.9.png
Lesson1	Vocabulary	1.10	Exam	중국 사람	Chung-guk sa-ram	 Người Trung Quốc	https://luandai123.github.io/Korean_Beginner/L1Vo1.10.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.10.png
Lesson1	Vocabulary	1.11	Exam	프랑스	Phư-rang-sư	 Pháp	https://luandai123.github.io/Korean_Beginner/L1Vo1.11.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.11.png
Lesson1	Vocabulary	1.12	Exam	프랑스 사람	Phư-rang-sư sa-ram	 Người Pháp	https://luandai123.github.io/Korean_Beginner/L1Vo1.12.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.12.png
Lesson1	Vocabulary	1.13	Exam	한국	Han-guk	 Hàn Quốc	https://luandai123.github.io/Korean_Beginner/L1Vo1.13.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.13.png
Lesson1	Vocabulary	1.14	Exam	한국 사람	Han-guk sa-ram	 Người Hàn Quốc	https://luandai123.github.io/Korean_Beginner/L1Vo1.14.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.14.png
Lesson1	Vocabulary	1.15	Exam	호주	Hô-ju	 Úc	https://luandai123.github.io/Korean_Beginner/L1Vo1.15.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.15.png
Lesson1	Vocabulary	1.16	Exam	호주 사람	Hô-ju sa-ram	 Người Úc	https://luandai123.github.io/Korean_Beginner/L1Vo1.16.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.16.png
Lesson1	Vocabulary	1.17	Exam	캐나다	Khae-na-da	 Canada	https://luandai123.github.io/Korean_Beginner/L1Vo1.17.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.17.png
Lesson1	Vocabulary	1.18	Exam	인도	In-đô	 Ấn Độ	https://luandai123.github.io/Korean_Beginner/L1Vo1.18.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.18.png
Lesson1	Vocabulary	1.19	Exam	러시아	Rơ-si-a	 Nga	https://luandai123.github.io/Korean_Beginner/L1Vo1.19.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.19.png
Lesson1	Vocabulary	1.20	Exam	파키스탄	Pha-khi-sư-than	 Pakistan	https://luandai123.github.io/Korean_Beginner/L1Vo1.20.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo1.20.png
Lesson1	Vocabulary	2	Struc	Nghề nghiệp (직업)				
Lesson1	Vocabulary	2.1	Exam	가수	Ka-su	 Ca sỹ	https://luandai123.github.io/Korean_Beginner/L1Vo2.1.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.1.png
Lesson1	Vocabulary	2.2	Exam	군인	Ku-nin	 Quân nhân, bộ đội	https://luandai123.github.io/Korean_Beginner/L1Vo2.2.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.2.png
Lesson1	Vocabulary	2.3	Exam	기자	Ki-ja	 Nhà báo, phóng viên	https://luandai123.github.io/Korean_Beginner/L1Vo2.3.mp3	https://luandai123.github.io/Korean_Beginner/L1Vo2.3.png
